class,common_name,scientific_name,iucn_status,inat_taxon_id,sa_observations,photo_url
Mammalia,Vervet Monkey,Chlorocebus pygerythrus,Least Concern,68137,6700,https://inaturalist-open-data.s3.amazonaws.com/photos/47225717/medium.jpeg
Mammalia,Lion,Panthera leo,Vulnerable,41964,5736,https://inaturalist-open-data.s3.amazonaws.com/photos/9225318/medium.jpg
Mammalia,Rock Hyrax,Procavia capensis,Least Concern,43086,5702,https://static.inaturalist.org/photos/131657139/medium.jpeg
Mammalia,Common Warthog,Phacochoerus africanus,Least Concern,42122,5648,https://static.inaturalist.org/photos/264074428/medium.jpg
Mammalia,African Buffalo,Syncerus caffer,Near Threatened,42405,5306,https://inaturalist-open-data.s3.amazonaws.com/photos/97834194/medium.jpg
Mammalia,Common Hippopotamus,Hippopotamus amphibius,Vulnerable,42149,5091,https://inaturalist-open-data.s3.amazonaws.com/photos/13896177/medium.jpg
Mammalia,Common Wildebeest,Connochaetes taurinus,Least Concern,42280,4952,https://static.inaturalist.org/photos/248838951/medium.jpg
Mammalia,Brown Fur Seal,Arctocephalus pusillus,Least Concern,41742,4907,https://inaturalist-open-data.s3.amazonaws.com/photos/347732091/medium.jpg
Mammalia,Southern Bushbuck,Tragelaphus sylvaticus,Least Concern,1431867,4606,https://inaturalist-open-data.s3.amazonaws.com/photos/59899521/medium.jpeg
Mammalia,Nyala,Tragelaphus angasii,Least Concern,42342,4092,https://inaturalist-open-data.s3.amazonaws.com/photos/1413848/medium.jpg
Mammalia,White Rhinoceros,Ceratotherium simum,Near Threatened,43348,4082,https://inaturalist-open-data.s3.amazonaws.com/photos/57287523/medium.jpg
Mammalia,Cape Porcupine,Hystrix africaeaustralis,Least Concern,44173,4075,https://inaturalist-open-data.s3.amazonaws.com/photos/9104192/medium.jpg
Mammalia,Waterbuck,Kobus ellipsiprymnus,Least Concern,42328,4024,https://inaturalist-open-data.s3.amazonaws.com/photos/72428489/medium.jpg
Mammalia,Bontebok/Blesbok,Damaliscus pygargus,Least Concern,42275,3921,https://inaturalist-open-data.s3.amazonaws.com/photos/28592089/medium.jpg
Mammalia,Leopard,Panthera pardus,Vulnerable,41963,3416,https://inaturalist-open-data.s3.amazonaws.com/photos/8666580/medium.jpeg
Mammalia,Common Eland,Tragelaphus oryx,Least Concern,75192,3337,https://inaturalist-open-data.s3.amazonaws.com/photos/311295610/medium.jpg
Mammalia,Spotted Hyena,Crocuta crocuta,Least Concern,41886,3336,https://static.inaturalist.org/photos/15526597/medium.jpg
Mammalia,Steenbok,Raphicerus campestris,Least Concern,42375,3320,https://inaturalist-open-data.s3.amazonaws.com/photos/12602689/medium.jpeg
Mammalia,Black-backed Jackal,Lupulella mesomelas,Least Concern,1210966,2799,https://inaturalist-open-data.s3.amazonaws.com/photos/477185480/medium.jpg
Mammalia,Klipspringer,Oreotragus oreotragus,Least Concern,42384,2667,https://inaturalist-open-data.s3.amazonaws.com/photos/15561156/medium.jpg
Mammalia,Bush Duiker,Sylvicapra grimmia,Least Concern,42424,2648,https://inaturalist-open-data.s3.amazonaws.com/photos/5488379/medium.jpg
Mammalia,Springbok,Antidorcas marsupialis,Least Concern,42283,2519,https://static.inaturalist.org/photos/4475239/medium.jpg
Mammalia,Hartebeest,Alcelaphus buselaphus,Least Concern,42418,2513,https://inaturalist-open-data.s3.amazonaws.com/photos/102232223/medium.jpg
Mammalia,Yellow Mongoose,Cynictis penicillata,Least Concern,41911,1757,https://inaturalist-open-data.s3.amazonaws.com/photos/67439114/medium.jpeg
Mammalia,Cheetah,Acinonyx jubatus,Vulnerable,41955,1683,https://inaturalist-open-data.s3.amazonaws.com/photos/57582224/medium.jpg
Mammalia,Smith's Bush Squirrel,Paraxerus cepapi,Least Concern,46110,1677,https://inaturalist-open-data.s3.amazonaws.com/photos/70345553/medium.jpeg
Mammalia,Eastern Gray Squirrel,Sciurus carolinensis,Least Concern,46017,1643,https://inaturalist-open-data.s3.amazonaws.com/photos/22144449/medium.jpg
Mammalia,Cape Four-striped Grass Mouse,Rhabdomys pumilio,Least Concern,45723,1594,https://inaturalist-open-data.s3.amazonaws.com/photos/15873599/medium.jpg
Mammalia,Gemsbok,Oryx gazella,Least Concern,42308,1576,https://static.inaturalist.org/photos/221946717/medium.jpg
Mammalia,Mountain Zebra,Equus zebra,Vulnerable,43330,1445,https://inaturalist-open-data.s3.amazonaws.com/photos/265694761/medium.jpg
Mammalia,African Wild Dog,Lycaon pictus,Endangered,42093,1426,https://inaturalist-open-data.s3.amazonaws.com/photos/50305267/medium.jpg
Mammalia,Cape Grey Mongoose,Herpestes pulverulentus,Least Concern,74413,1242,https://inaturalist-open-data.s3.amazonaws.com/photos/14613537/medium.jpg
Mammalia,Common Dwarf Mongoose,Helogale parvula,Least Concern,41906,1133,https://inaturalist-open-data.s3.amazonaws.com/photos/12783640/medium.jpg
Mammalia,Banded Mongoose,Mungos mungo,Least Concern,41921,1129,https://inaturalist-open-data.s3.amazonaws.com/photos/42664377/medium.jpg
Mammalia,Caracal,Caracal caracal,Least Concern,42042,1128,https://inaturalist-open-data.s3.amazonaws.com/photos/29894444/medium.jpg
Mammalia,Grey Rhebok,Pelea capreolus,Near Threatened,42336,1096,https://static.inaturalist.org/photos/15174209/medium.jpg
Mammalia,Black Wildebeest,Connochaetes gnou,Least Concern,42281,1083,https://inaturalist-open-data.s3.amazonaws.com/photos/456802247/medium.jpg
Mammalia,South African Ground Squirrel,Geosciurus inauris,Least Concern,871614,1075,https://inaturalist-open-data.s3.amazonaws.com/photos/412153385/medium.jpeg
Mammalia,Marsh Mongoose,Atilax paludinosus,Least Concern,41919,1019,https://inaturalist-open-data.s3.amazonaws.com/photos/59604524/medium.jpg
Mammalia,African Clawless Otter,Lutra capensis,Near Threatened,1638841,1006,https://inaturalist-open-data.s3.amazonaws.com/photos/5498717/medium.jpg
Mammalia,Common Slender Mongoose,Herpestes sanguineus,Least Concern,74414,939,https://inaturalist-open-data.s3.amazonaws.com/photos/14113969/medium.jpeg
Mammalia,Meerkat,Suricata suricatta,Least Concern,41943,905,https://static.inaturalist.org/photos/288911228/medium.jpg
Mammalia,Cape Grysbok,Raphicerus melanotis,Least Concern,42376,848,https://static.inaturalist.org/photos/29316021/medium.jpg
Mammalia,Sable Antelope,Hippotragus niger,Least Concern,42334,787,https://inaturalist-open-data.s3.amazonaws.com/photos/92248778/medium.jpg
Reptilia,Southern Rock Agama,Agama atra,Least Concern,31150,10289,https://inaturalist-open-data.s3.amazonaws.com/photos/15571838/medium.jpg
